city,state,county,location_name,location_id,location_type,date,outcome_type,value
New York City,New York,New York,"New York City, New York",36061,county,2025-11-28,case_lab-confirmed,1
New York City,New York,New York,"New York City, New York",36061,county,2025-11-28,case_local,1
New York City,New York,New York,"New York City, New York",36061,county,2025-12-05,case_lab-confirmed,1
New York City,New York,New York,"New York City, New York",36061,county,2025-12-05,case_local,1
New York City,New York,New York,"New York City, New York",36061,county,2026-02-13,case_lab-confirmed,1
New York City,New York,New York,"New York City, New York",36061,county,2026-02-13,case_local,1
New York City,New York,New York,"New York City, New York",36061,county,2026-03-12,case_lab-confirmed,2
New York City,New York,New York,"New York City, New York",36061,county,2026-03-12,case_local,2
New York City,New York,New York,"New York City, New York",36061,county,2026-03-27,case_lab-confirmed,1
New York City,New York,New York,"New York City, New York",36061,county,2026-03-27,case_local,1
New York City,New York,New York,"New York City, New York",36061,county,2026-05-08,case_lab-confirmed,2
New York City,New York,New York,"New York City, New York",36061,county,2026-05-08,case_local,2
Philadelphia,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",42101,county,2025-03-31,case_imported,1
Philadelphia,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",42101,county,2025-03-31,case_lab-confirmed,1
Philadelphia,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",42101,county,2025-04-11,case_imported,1
Philadelphia,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",42101,county,2025-04-11,case_lab-confirmed,1
San Francisco,California,San Francisco,"San Francisco, California",6075,county,2026-04-15,case_imported,1
San Francisco,California,San Francisco,"San Francisco, California",6075,county,2026-04-15,case_lab-confirmed,1
San Francisco,California,San Francisco,"San Francisco, California",6075,county,2026-04-15,case_unvaccinated,1
Seattle,Washington,King,"King, Washington",53033,county,2025-02-27,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-02-27,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2025-04-11,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-04-11,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2025-04-24,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-04-24,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2025-04-24,case_unvaccinated,1
Seattle,Washington,King,"King, Washington",53033,county,2025-05-20,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-05-20,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2025-06-24,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-06-24,case_lab-confirmed,2
Seattle,Washington,King,"King, Washington",53033,county,2025-06-24,case_local,1
Seattle,Washington,King,"King, Washington",53033,county,2025-06-24,case_vaccinated,1
Seattle,Washington,King,"King, Washington",53033,county,2025-10-28,case_imported,1
Seattle,Washington,King,"King, Washington",53033,county,2025-10-28,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2025-10-28,case_vaccinated,1
Seattle,Washington,King,"King, Washington",53033,county,2026-04-01,case_lab-confirmed,2
Seattle,Washington,King,"King, Washington",53033,county,2026-04-01,case_local,2
Seattle,Washington,King,"King, Washington",53033,county,2026-04-10,case_lab-confirmed,1
Seattle,Washington,King,"King, Washington",53033,county,2026-04-10,case_local,1
